offspring father confidence.x mother confidence.y father_combo mother_combo offspring_combo mother.pop father.pop mother.ind father.ind cross.dir cross
BW-Combo1-107 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-1 PL-M-1 PPxPL PP-F-1xPL-M-1
BW-Combo1-108 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-3 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-3 PP-M-4 PPxPP PP-F-3xPP-M-4
BW-Combo1-109 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-1 PL-M-1 PPxPL PP-F-1xPL-M-1
BW-Combo1-110 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-1 PPxPL PP-F-2xPL-M-1
BW-Combo1-111 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-1 PL-M-1 PPxPL PP-F-1xPL-M-1
BW-Combo1-112 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-2 PP-M-4 PLxPP PL-F-2xPP-M-4
BW-Combo1-113 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-1 PL-M-1 PPxPL PP-F-1xPL-M-1
BW-Combo1-114 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-115 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-116 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-1 PPxPL PP-F-2xPL-M-1
BW-Combo1-119 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-2 PP-M-4 PLxPP PL-F-2xPP-M-4
BW-Combo1-120 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-1 PL-M-1 PPxPL PP-F-1xPL-M-1
BW-Combo1-121 BW-Combo1-PL-M-3 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-3 PPxPL PP-F-2xPL-M-3
BW-Combo1-123 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-1 PL-M-1 PPxPL PP-F-1xPL-M-1
BW-Combo1-124 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-1 PP-M-4 PPxPP PP-F-1xPP-M-4
BW-Combo1-125 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-1 PL-M-1 PPxPL PP-F-1xPL-M-1
BW-Combo1-126 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-2 PP-M-4 PPxPP PP-F-2xPP-M-4
BW-Combo1-127 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-2 PP-M-4 PPxPP PP-F-2xPP-M-4
BW-Combo1-128 BW-Combo1-PL-M-3 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-3 PPxPL PP-F-2xPL-M-3
BW-Combo1-129 BW-Combo1-PL-M-1 95% BW-Combo1-PL-F-3 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PL PL-F-3 PL-M-1 PLxPL PL-F-3xPL-M-1
BW-Combo1-130 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-4 PP-M-4 PPxPP PP-F-4xPP-M-4
BW-Combo1-131 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-3 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-3 PP-M-4 PPxPP PP-F-3xPP-M-4
BW-Combo1-132 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-2 PP-M-4 PLxPP PL-F-2xPP-M-4
BW-Combo1-133 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-134 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-2 PP-M-4 PLxPP PL-F-2xPP-M-4
BW-Combo1-135 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-1 PL-M-1 PPxPL PP-F-1xPL-M-1
